
area: "0XB",245494,115531,235999,108145,232084,113178,241579,120564,235999,108145,245494,115531,
area: "0XU",227137,119564,236674,126923,241916,120127,232397,112782,236674,126923,227137,119564,
area: "1A",129605,115106,119625,105708,89446,137755,99342,147114,89446,137755,119625,105708,
area: "1A01",119625,105708,129602,115110,133033,111469,123056,102067,123056,102067,133033,111469,
area: "1B01",139124,105936,131261,98544,128616,101360,136478,108750,128616,101360,131261,98544,
area: "1B02",141737,103156,133872,95764,131261,98544,139124,105936,131261,98544,133872,95764,
area: "1B03",143945,100806,136079,93412,133872,95764,141737,103156,133872,95764,136079,93412,
area: "1B04",146133,98477,138266,91082,136079,93412,143945,100806,136079,93412,138266,91082,
area: "1B05",148321,96149,140452,88753,138266,91082,146133,98477,138266,91082,140452,88753,
area: "1B06",150682,93636,142818,86232,140452,88753,148321,96149,140452,88753,142818,86232,
area: "1B07",152830,91349,148522,87293,146375,89582,150683,93636,146375,89582,148522,87293,
area: "1B08",155046,88992,150735,84934,148522,87293,152830,91349,148522,87293,150735,84934,
area: "1B09",157254,86642,152942,82582,150735,84934,155046,88992,150735,84934,152942,82582,
area: "1B10",159540,84214,155227,80155,152942,82582,157254,86642,152942,82582,155227,80156,
area: "1C",165078,69744,170953,75270,161102,85683,155227,80156,155227,80156,165078,69744,
area: "1D",129605,115106,99342,147114,108167,155457,138384,123373,138384,123373,108167,155457,
area: "1D01",129602,115110,138384,123373,141813,119734,133033,111469,133033,111469,141813,119734,
area: "1E01",147475,113718,139164,105893,136478,108750,144794,116566,147475,113718,144794,116566,
area: "1E02",150091,110940,141771,103120,139164,105893,147475,113718,150091,110940,147475,113718,
area: "1E03",152295,108599,143973,100777,141771,103120,150091,110940,152295,108599,150091,110940,
area: "1E04",154492,106266,146168,98442,143973,100777,152295,108599,154492,106266,152295,108599,
area: "1E05",156695,103925,148370,96099,146168,98442,154492,106266,156695,103925,154492,106266,
area: "1E06",158906,101577,150579,93749,148370,96099,156695,103925,158906,101577,156695,103925,
area: "1E07",161110,99236,152778,91405,150579,93749,158906,101577,161110,99236,158906,101577,
area: "1E08",163321,96888,154987,89055,152778,91405,161110,99236,163321,96888,161110,99236,
area: "1E09",165538,94533,157202,86697,154987,89055,163321,96888,165538,94533,163321,96888,
area: "1E10",167874,92052,159538,84212,157202,86697,165538,94533,167874,92052,165538,94533,
area: "1F",161102,85683,170953,75270,177694,81610,167874,92052,177695,81611,167874,92052,
area: "1G01",117311,159748,121654,155136,115931,149747,111589,154360,111589,154360,115931,149747,
area: "1G02",121654,155136,125996,150523,120274,145135,115931,149747,115931,149747,120274,145135,
area: "1H01",147320,118938,150880,122290,155134,117772,151573,114420,147320,118938,151573,114420,
area: "1H02",151573,114420,155134,117772,159387,113255,155827,109902,151573,114420,155827,109902,
